group,subgroup,codepoints,status,emoji,name
People & Body,person-sport,1F3CC 1F3FD 200D 2640 FE0F,fully-qualified,🏌🏽‍♀️,E4.0 woman golfing: medium skin tone
People & Body,person-sport,1F3CC 1F3FD 200D 2640,minimally-qualified,🏌🏽‍♀,E4.0 woman golfing: medium skin tone
People & Body,person-sport,1F3CC 1F3FE 200D 2640 FE0F,fully-qualified,🏌🏾‍♀️,E4.0 woman golfing: medium-dark skin tone
People & Body,person-sport,1F3CC 1F3FE 200D 2640,minimally-qualified,🏌🏾‍♀,E4.0 woman golfing: medium-dark skin tone
People & Body,person-sport,1F3CC 1F3FF 200D 2640 FE0F,fully-qualified,🏌🏿‍♀️,E4.0 woman golfing: dark skin tone
People & Body,person-sport,1F3CC 1F3FF 200D 2640,minimally-qualified,🏌🏿‍♀,E4.0 woman golfing: dark skin tone
People & Body,person-sport,1F3C4,fully-qualified,🏄,E0.6 person surfing
People & Body,person-sport,1F3C4 1F3FB,fully-qualified,🏄🏻,E1.0 person surfing: light skin tone
People & Body,person-sport,1F3C4 1F3FC,fully-qualified,🏄🏼,E1.0 person surfing: medium-light skin tone
People & Body,person-sport,1F3C4 1F3FD,fully-qualified,🏄🏽,E1.0 person surfing: medium skin tone
People & Body,person-sport,1F3C4 1F3FE,fully-qualified,🏄🏾,E1.0 person surfing: medium-dark skin tone
People & Body,person-sport,1F3C4 1F3FF,fully-qualified,🏄🏿,E1.0 person surfing: dark skin tone
People & Body,person-sport,1F3C4 200D 2642 FE0F,fully-qualified,🏄‍♂️,E4.0 man surfing
People & Body,person-sport,1F3C4 200D 2642,minimally-qualified,🏄‍♂,E4.0 man surfing
People & Body,person-sport,1F3C4 1F3FB 200D 2642 FE0F,fully-qualified,🏄🏻‍♂️,E4.0 man surfing: light skin tone
People & Body,person-sport,1F3C4 1F3FB 200D 2642,minimally-qualified,🏄🏻‍♂,E4.0 man surfing: light skin tone
People & Body,person-sport,1F3C4 1F3FC 200D 2642 FE0F,fully-qualified,🏄🏼‍♂️,E4.0 man surfing: medium-light skin tone
People & Body,person-sport,1F3C4 1F3FC 200D 2642,minimally-qualified,🏄🏼‍♂,E4.0 man surfing: medium-light skin tone
People & Body,person-sport,1F3C4 1F3FD 200D 2642 FE0F,fully-qualified,🏄🏽‍♂️,E4.0 man surfing: medium skin tone
People & Body,person-sport,1F3C4 1F3FD 200D 2642,minimally-qualified,🏄🏽‍♂,E4.0 man surfing: medium skin tone
People & Body,person-sport,1F3C4 1F3FE 200D 2642 FE0F,fully-qualified,🏄🏾‍♂️,E4.0 man surfing: medium-dark skin tone
People & Body,person-sport,1F3C4 1F3FE 200D 2642,minimally-qualified,🏄🏾‍♂,E4.0 man surfing: medium-dark skin tone
People & Body,person-sport,1F3C4 1F3FF 200D 2642 FE0F,fully-qualified,🏄🏿‍♂️,E4.0 man surfing: dark skin tone
People & Body,person-sport,1F3C4 1F3FF 200D 2642,minimally-qualified,🏄🏿‍♂,E4.0 man surfing: dark skin tone
People & Body,person-sport,1F3C4 200D 2640 FE0F,fully-qualified,🏄‍♀️,E4.0 woman surfing
People & Body,person-sport,1F3C4 200D 2640,minimally-qualified,🏄‍♀,E4.0 woman surfing
People & Body,person-sport,1F3C4 1F3FB 200D 2640 FE0F,fully-qualified,🏄🏻‍♀️,E4.0 woman surfing: light skin tone
People & Body,person-sport,1F3C4 1F3FB 200D 2640,minimally-qualified,🏄🏻‍♀,E4.0 woman surfing: light skin tone
People & Body,person-sport,1F3C4 1F3FC 200D 2640 FE0F,fully-qualified,🏄🏼‍♀️,E4.0 woman surfing: medium-light skin tone
People & Body,person-sport,1F3C4 1F3FC 200D 2640,minimally-qualified,🏄🏼‍♀,E4.0 woman surfing: medium-light skin tone
People & Body,person-sport,1F3C4 1F3FD 200D 2640 FE0F,fully-qualified,🏄🏽‍♀️,E4.0 woman surfing: medium skin tone
People & Body,person-sport,1F3C4 1F3FD 200D 2640,minimally-qualified,🏄🏽‍♀,E4.0 woman surfing: medium skin tone
